,Patient ID,MAE,MAPE,RMSE,SSI
0,0396_a,0.0017702735494822264,0.04353899136185646,0.0017927465214199305,0.9991044998168945
1,0775_c,0.0007303530583158135,0.019147593528032303,0.0007848118566852882,0.9998154640197754
2,0470_a,0.002491473685950041,0.06578177213668823,0.0025138381033150328,0.9982000589370728
3,0079_a,0.006659804377704859,0.8216503262519836,0.006660746538804386,0.935244083404541
4,0826_a,0.11723201721906662,3.7130863666534424,0.14388139358883859,0.437003493309021
5,0187_a,0.0037849731743335724,0.16182750463485718,0.0037928362535429943,0.9913998246192932
6,0073_a,0.0012713305186480284,0.03403998911380768,0.0013004094176995416,0.9994887113571167
7,0628_a,0.0075566875748336315,1.045454502105713,0.007557350465817514,0.9148999452590942
8,0535_a,0.0017951612826436758,0.053563229739665985,0.0018153915185398536,0.9986929893493652
9,0886_a,0.0026243324391543865,0.14628298580646515,0.002631688251790495,0.9927060008049011
10,0321_a,0.004218175075948238,0.14449529349803925,0.004226831319995036,0.9924075603485107
11,0224_e,0.0028796307742595673,0.1406250298023224,0.0028883651116487323,0.9939131736755371
12,0613_a,0.14168033003807068,8.060648918151855,0.15569424737407764,0.24453705549240112
13,0229_a,8.825040276860818e-05,0.006000513676553965,0.00011332428215907929,0.9999864101409912
14,0498_a,0.0008257140289060771,0.058604270219802856,0.0008257253605206767,0.9991694688796997
15,0098_a,0.005677294917404652,0.32975801825523376,0.005683725149583238,0.9734859466552734
16,1130_a,0.11972172558307648,5.705362319946289,0.1477771740712486,0.37376460433006287
17,0157_a,0.017493244260549545,78782568333312.0,0.017496221187061012,0.5668787956237793
18,1036_a,0.014686139300465584,66140491481088.0,0.014686607261739117,0.649893581867218
19,0306_a,0.004480022005736828,0.2171493023633957,0.004493735237262717,0.9812850952148438
20,1030_a,0.01156332716345787,0.6387672424316406,0.011565302134930362,0.9167708158493042
21,0615_a,0.00679106405004859,0.18520930409431458,0.006795253076712771,0.9825447797775269
22,0049_a,0.0037984412629157305,0.1647835373878479,0.003802052521655626,0.9912549257278442
23,0038_a,0.0062926108948886395,0.3481542468070984,0.006295780227186579,0.969986617565155
24,0703_a,0.0022436908911913633,0.17792156338691711,0.002245520702955833,0.9935539960861206
25,0496_a,0.000801177928224206,0.028616182506084442,0.0008260813961217958,0.9996567368507385
26,0730_a,0.1072075366973877,3.7850375175476074,0.12744231972787215,0.4344833493232727
27,0877_a,0.0010141534730792046,0.07312142848968506,0.0010179105818693733,0.9987472295761108
28,0563_a,0.004506929311901331,0.19491052627563477,0.004513134302096893,0.9879655838012695
29,0484_b,0.00017430417938157916,0.006576159968972206,0.00022386904714548936,0.9999746680259705
30,1042_a,0.001736755482852459,0.11371465027332306,0.0017675673623771626,0.9966400861740112
31,0495_a,0.21495981514453888,9.328287124633789,0.2502334815755825,0.21384944021701813
32,0821_b,0.0018694789614528418,0.06648683547973633,0.001886913140696761,0.9982707500457764
33,0773_a,0.003717754501849413,0.16850191354751587,0.003726182395931028,0.9910022020339966
34,0275_a,0.00349560659378767,0.12703627347946167,0.0035239835195742175,0.9940919876098633
35,0124_a,0.004600360989570618,0.2953900694847107,0.0046078606063524805,0.9798406362533569
36,0071_a,0.0062341466546058655,0.30748969316482544,0.011044438314750969,0.968063473701477
